agency_id,route_id,route_long_name,route_short_name,route_desc,route_type
DIMTS,266,188LNKSTLDOWN,188LNKSTLDOWN,Burari EV Depot (Outshed) to ISBT Kashmiri Gate,3
DIMTS,267,188LNKSTLUP,188LNKSTLUP,ISBT Kashmere Gate City Bus Terminal / ISBT Maharana Pratap Bus Terminal to Burari EV Depot (Inshed),3
DIMTS,268,188UP,188UP,Kendriya Terminal (Church Road) to Qutub Garh Village (T),3
DIMTS,269,191ADOWN2,191ADOWN2,Harewali Village (T) to Shahbad Dairy,3
DIMTS,270,191AUP2,191AUP2,Shahbad Dairy to Harewali Village (T),3
DIMTS,271,191DOWN,191DOWN,Harewali Village (T) to Mori Gate Terminal,3
DIMTS,272,191STLDOWN2,191STLDOWN2,Harewali Border to Bawana Sec 5 Cluster Depot,3
DIMTS,273,191STLUP2,191STLUP2,Bawana Sec 5 Cluster Depot to Harewali Border,3
DIMTS,274,191UP,191UP,Mori Gate Terminal to Harewali Village (T),3
DIMTS,275,193ADOWN,193ADOWN,Ramdev Chowk Narela Terminal / A-5 Narela / Police Colony to GTK Depot,3
DIMTS,276,193AUP,193AUP,GTK Depot to Ramdev Chowk Narela Terminal,3
DIMTS,278,193STLDOWN,193STLDOWN,Ramdev Chowk (Narela) to Bawana Sec 1 Depot Bus Stop,3
DIMTS,279,193STLUP,193STLUP,Bawana Sec 1 Cluster Depot to Ramdev Chowk (Narela),3
DIMTS,284,205LINKSTLDOWN,205LINKSTLDOWN,Rajghat Depot to ISBT Nitayanand Marg ,3
DIMTS,285,205LNKSTLDOWN,205LNKSTLDOWN,Rajghat Depot to Old Delhi Railway Station (T),3
DIMTS,286,205LNKSTLUP,205LNKSTLUP,Old Delhi Railway Station to Rajghat Depot,3
DIMTS,287,205LSTLDOWN2,205LSTLDOWN2,Rajghat Depot to ISBT Kashmiri Gate,3
DIMTS,288,205LSTLUP2,205LSTLUP2,ISBT Kashmere Gate City Bus Terminal / ISBT Maharana Pratap Bus Terminal to Rajghat Depot,3
DIMTS,292,207DOWN,207DOWN,ARSD College / Dhaula Kuan to Bhajanpura,3
DIMTS,293,207STLDOWN,207STLDOWN,Bhajanpura to Yamuna Vihar C-Block / Yamuna Vihar Cluster Depot,3
DIMTS,294,207STLUP,207STLUP,Yamuna Vihar Cluster Depot to Bhajanpura,3
DIMTS,295,207UP,207UP,Bhajanpura to ARSD College / Dhaula Kuan,3
DIMTS,296,208LNKSTLDOWN,208LNKSTLDOWN,New Seema Puri to Harsh Vihar Terminal,3
DIMTS,297,208LNKSTLUP,208LNKSTLUP,Harsh Vihar Terminal to Dilshad Garden Depot Cluster,3
DIMTS,306,215ADOWN,215ADOWN,Bawana JJ Colony Terminal to Shahbad Dairy,3
DIMTS,307,215AUP,215AUP,Shahbad Dairy to Bawana JJ Colony Terminal,3
DIMTS,308,215DOWN,215DOWN,Bawana JJ Colony Terminal to New Delhi Railway Station Gate 2,3
